Method Data,,,,,,
Method name,Panopea,,,,,
Method ID,7,,,,,
Method version,6,,,,,
Method Internal ID,M44,,,,,
Release State,Released,,,,,
Type,TitrationGeneral,,,,,
,,,,,,
Table of Measured Values,,,,,,
Task,T1576,,,,,
Scope 1/1, Sample 1/3 (20200917_tank),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-49.2,21.7,NaN,,
0.04,5,-50.7,21.7,0.0075,,
0.08,25,-42,21.7,0.002,,
0.12,54,-24.7,21.7,0.0015,,
0.16,75,-9.7,21.7,0.002,,
0.2,88,-0.1,21.7,0.003,,
0.24,102,8.4,21.7,0.003,,
0.28,116,15.9,21.7,0.003,,
0.32,129,22,21.7,0.003,,
0.36,134,26.7,21.7,0.0075,,
0.4,144,32.4,21.7,0.004,,
0.44,156,37.6,21.7,0.0035,,
0.48,166,42.1,21.7,0.004,,
0.52,174,46.5,21.7,0.005,,
0.56,178,50.7,21.7,0.0105,,
0.6,187,54.8,21.7,0.0045,,
0.64,197,59.2,21.7,0.004,,
0.68,200,64.8,21.7,0.0135,,
0.72,210,68.2,21.7,0.004,,
0.76,219,72.9,21.7,0.0045,,
0.8,223,77.8,21.7,0.0095,,
0.84,233,83.7,21.7,0.004,,
0.88,243,90.4,21.7,0.004,,
0.92,252,97.8,21.7,0.0045,,
0.96,261,107.1,21.7,0.0045,,
1,270,119.3,21.7,0.0045,,
1.04,279,135.7,21.7,0.0045,391.31,2.59
1.08,287,154.3,21.7,0.005,392.28,2.59
1.12,294,168.9,21.7,0.0055,350.04,2.54
1.16,302,179.3,21.7,0.005,274.76,2.44
1.2,308,187,21.7,0.0065,193.67,2.29
1.22,435,191.5,21.7,0,156.31,2.19
1.24,441,194.2,21.7,0.0035,139.88,2.15
1.26,447,196.8,21.7,0.0035,127.76,2.11
1.28,453,199.1,21.7,0.0035,112.82,2.05
1.3,459,201.3,21.7,0.0035,98.97,2
1.32,464,203.2,21.7,0.0035,96.13,1.98
1.34,471,205.1,21.7,0.003,89.63,1.95
1.36,476,206.8,21.7,0.004,83.61,1.92
1.38,482,208.5,21.7,0.0035,78.41,1.89
1.4,487,210,21.7,0.004,73.93,1.87
1.42,493,211.4,21.7,0.0035,69.63,1.84
1.44,498,212.7,21.7,0.004,66.2,1.82
1.46,504,214.1,21.7,0.003,63.2,1.8
1.48,510,215.3,21.7,0.0035,60.71,1.78
1.5,515,216.5,21.7,0.004,57.72,1.76
1.52,520,217.6,21.7,0.004,54.99,1.74
1.54,525,218.7,21.7,0.0035,52.43,1.72
1.56,530,219.7,21.7,0.0035,50.99,1.71
1.58,536,220.7,21.7,0.0035,48.72,1.69
1.6,541,221.7,21.7,0.004,46.98,1.67
1.62,546,222.6,21.7,0.004,45.22,1.66
1.64,551,223.5,21.7,0.004,44,1.64
1.66,556,224.3,21.7,0.0045,42.21,1.63
1.68,561,225.2,21.7,0.004,40.99,1.61
1.7,566,226,21.7,0.004,40,1.6
1.72,571,226.8,21.7,0.004,,
1.74,576,227.5,21.7,0.0035,,
1.76,581,228.3,21.7,0.004,,
1.78,586,229,21.7,0.004,,
Scope 1/1, Sample 2/3 (20200917_GSO),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-42.8,21.7,NaN,,
0.08,11,-44.2,21.7,0.005,,
0.12,40,-31.1,21.7,0.0015,,
0.16,63,-17,21.7,0.0015,,
0.2,82,-5.7,21.7,0.002,,
0.24,99,2.9,21.7,0.0025,,
0.28,112,8.9,21.7,0.003,,
0.32,125,15,21.7,0.003,,
0.36,139,20.3,21.7,0.003,,
0.4,152,25.2,21.7,0.003,,
0.44,164,29.7,21.7,0.0035,,
0.48,176,33.8,21.7,0.0035,,
0.52,187,38.1,21.7,0.0035,,
0.56,197,41.7,21.7,0.004,,
0.6,208,45.3,21.7,0.0035,,
0.64,218,48.8,21.7,0.004,,
0.68,228,52.4,21.7,0.004,,
0.72,238,56.1,21.7,0.004,,
0.76,247,59.7,21.7,0.0045,,
0.8,251,64.2,21.7,0.011,,
0.84,261,67.5,21.7,0.004,,
0.88,270,71.8,21.7,0.004,,
0.92,275,75.6,21.7,0.0085,,
0.96,284,81,21.7,0.0045,,
1,293,86.3,21.7,0.0045,,
1.04,296,92.5,21.7,0.0115,,
1.08,306,99.6,21.7,0.004,,
1.12,316,108.8,21.7,0.004,,
1.16,325,120.5,21.7,0.0045,,
1.2,334,136.3,21.7,0.0045,379.74,2.58
1.24,342,154.1,21.7,0.005,381.87,2.58
1.28,350,168.7,21.7,0.0055,343.42,2.54
1.32,356,179,21.7,0.006,273.17,2.44
1.36,362,186.8,21.7,0.006,194.82,2.29
1.38,489,191.2,21.7,0,157.96,2.2
1.4,495,194,21.7,0.0035,139.74,2.15
1.42,501,196.5,21.7,0.003,127.63,2.11
1.44,507,198.8,21.7,0.0035,112.65,2.05
1.46,513,201,21.7,0.0035,99.55,2
1.48,519,203,21.7,0.0035,96.04,1.98
1.5,524,204.8,21.7,0.004,89.92,1.95
1.52,530,206.6,21.7,0.0035,83.92,1.92
1.54,535,208.2,21.7,0.004,78.61,1.9
1.56,540,209.7,21.7,0.0035,73.93,1.87
1.58,546,211.2,21.7,0.0035,69.7,1.84
1.6,552,212.5,21.7,0.0035,65.63,1.82
1.62,557,213.8,21.7,0.004,62.71,1.8
1.64,562,215,21.7,0.0035,59.7,1.78
1.66,568,216.2,21.7,0.0035,56.92,1.76
1.68,573,217.3,21.7,0.0045,54.99,1.74
1.7,578,218.4,21.7,0.004,52.72,1.72
1.72,583,219.4,21.7,0.004,,
1.74,588,220.4,21.7,0.004,,
1.76,593,221.4,21.7,0.004,,
1.78,598,222.3,21.7,0.004,,
1.8,603,223.2,21.7,0.004,,
Scope 1/1, Sample 3/3 (20200917_carboy),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-55.1,21.7,NaN,,
0.04,3,-59,21.7,0.012,,
0.08,33,-44.4,21.7,0.0015,,
0.16,88,-1.5,21.7,0.0015,,
0.2,110,9.1,21.7,0.002,,
0.24,130,18.6,21.7,0.002,,
0.28,149,26.7,21.7,0.002,,
0.32,165,33.7,21.7,0.0025,,
0.36,182,40.6,21.7,0.0025,,
0.4,197,46.8,21.7,0.0025,,
0.44,210,52.9,21.7,0.003,,
0.48,223,59.3,21.7,0.003,,
0.52,234,65.8,21.7,0.0035,,
0.56,246,72.9,21.7,0.0035,,
0.6,258,80.8,21.7,0.0035,,
0.64,269,90.1,21.7,0.0035,,
0.68,274,100.8,21.7,0.008,,
0.72,284,118.8,21.7,0.004,451.68,2.65
0.76,294,141.8,21.7,0.004,476.3,2.68
0.8,302,161.9,21.7,0.005,445.5,2.65
0.84,310,175,21.7,0.005,357.22,2.55
0.88,316,184.1,21.7,0.0065,239.76,2.38
0.9,443,189.1,21.7,0,179.22,2.25
0.92,449,192.1,21.7,0.0035,149.14,2.17
0.94,456,194.9,21.7,0.003,137.34,2.14
0.96,462,197.4,21.7,0.003,121.05,2.08
0.98,468,199.8,21.7,0.003,105.88,2.02
1,475,201.9,21.7,0.003,101.76,2.01
1.02,480,203.8,21.7,0.0035,94.84,1.98
1.04,486,205.6,21.7,0.003,88.63,1.95
1.06,492,207.4,21.7,0.0035,83.39,1.92
1.08,498,209,21.7,0.0035,78.42,1.89
1.1,503,210.6,21.7,0.004,73.71,1.87
1.12,509,211.9,21.7,0.0035,68.93,1.84
1.14,515,213.3,21.7,0.0035,64.63,1.81
1.16,520,214.5,21.7,0.004,61.39,1.79
1.18,525,215.8,21.7,0.004,58.93,1.77
1.2,530,216.9,21.7,0.004,57.5,1.76
1.22,536,218,21.7,0.0035,55.23,1.74
1.24,541,219.1,21.7,0.0045,53.27,1.73
1.26,546,220.2,21.7,0.0035,50.7,1.71
1.28,552,221.2,21.7,0.0035,49,1.69
1.3,557,222.1,21.7,0.004,46.72,1.67
1.32,562,223,21.7,0.004,44.7,1.65
1.34,567,223.9,21.7,0.0035,43.49,1.64
1.36,572,224.8,21.7,0.0035,42.51,1.63
1.38,578,225.6,21.7,0.0035,41,1.61
1.4,582,226.4,21.7,0.0045,39,1.59
1.42,588,227.2,21.7,0.0035,37.2,1.57
1.44,593,227.9,21.7,0.0045,36.21,1.56
1.46,598,228.6,21.7,0.0045,35.22,1.55
1.48,603,229.3,21.7,0.004,34.48,1.54
1.5,608,230,21.7,0.004,34.01,1.53
1.52,613,230.7,21.7,0.004,33.5,1.53
1.54,618,231.3,21.7,0.0045,32.5,1.51
1.56,622,232,21.7,0.0045,31.79,1.5
1.58,627,232.6,21.7,0.004,30.71,1.49
1.6,632,233.2,21.7,0.004,29.71,1.47
1.62,637,233.8,21.7,0.004,29.58,1.47
1.64,642,234.4,21.7,0.0035,28.72,1.46
1.66,647,234.9,21.7,0.004,27.7,1.44
1.68,652,235.5,21.7,0.0045,27.07,1.43
1.7,656,236.1,21.7,0.0045,26.22,1.42
1.72,661,236.5,21.7,0.0045,,
1.74,665,237,21.7,0.005,,
1.76,669,237.6,21.7,0.0045,,
1.78,674,238,21.7,0.004,,
1.8,678,238.5,21.7,0.005,,
