Method Data,,,,,,
Method name,Panopea,,,,,
Method ID,7,,,,,
Method version,6,,,,,
Method Internal ID,M44,,,,,
Release State,Released,,,,,
Type,TitrationGeneral,,,,,
,,,,,,
Table of Measured Values,,,,,,
Task,T1576,,,,,
Scope 1/1, Sample 1/6 (20201009_headtank1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,152.2,21.7,,,
0.04,19,171.3,21.7,0.002,,
0.08,28,180.6,21.7,0.0045,,
0.1,156,187.8,21.7,0,,
0.12,162,190.7,21.7,0.003,,
0.14,169,193.5,21.7,0.003,135.33,2.13
0.16,176,195.9,21.7,0.003,122.49,2.09
0.18,183,198.2,21.7,0.003,97.7,1.99
0.2,189,200.3,21.7,0.003,101.32,2.01
0.22,195,202.2,21.7,0.003,94.34,1.97
0.24,202,204.1,21.7,0.003,88.41,1.95
0.26,208,205.8,21.7,0.003,82.61,1.92
0.28,215,207.4,21.7,0.003,77.93,1.89
0.3,221,208.9,21.7,0.0035,73.71,1.87
0.32,227,210.3,21.7,0.0035,69.42,1.84
0.34,232,211.7,21.7,0.004,65.7,1.82
0.36,238,213,21.7,0.003,61.91,1.79
0.38,244,214.2,21.7,0.0035,59.22,1.77
0.4,250,215.3,21.7,0.0035,56.43,1.75
0.42,255,216.4,21.7,0.004,54.19,1.73
0.44,260,217.5,21.7,0.004,52.5,1.72
0.46,266,218.6,21.7,0.0035,51,1.71
0.48,270,219.5,21.7,0.0045,48.72,1.69
0.5,276,220.5,21.7,0.0035,46.49,1.67
0.52,280,221.4,21.7,0.005,44.7,1.65
0.54,285,222.3,21.7,0.0045,43.72,1.64
0.56,289,223.1,21.7,0.005,42.79,1.63
0.58,294,224,21.7,0.004,41,1.61
0.6,299,224.8,21.7,0.004,39.49,1.6
0.62,304,225.6,21.7,0.004,37.72,1.58
0.64,309,226.3,21.7,0.004,36.5,1.56
0.66,313,227,21.7,0.0045,34.93,1.54
0.68,318,227.7,21.7,0.004,34.48,1.54
0.7,323,228.4,21.7,0.004,34.01,1.53
0.72,328,229.1,21.7,0.0045,33.5,1.53
0.74,332,229.7,21.7,0.0045,32.5,1.51
0.76,337,230.4,21.7,0.004,31.5,1.5
0.78,342,231,21.7,0.004,30.7,1.49
0.8,346,231.6,21.7,0.0045,30.51,1.48
0.82,350,232.2,21.7,0.005,30.29,1.48
0.84,355,232.8,21.7,0.004,29.49,1.47
0.86,360,233.4,21.7,0.004,28.79,1.46
0.88,365,234,21.7,0.004,27.5,1.44
0.9,369,234.5,21.7,0.0045,26.21,1.42
0.92,374,235,21.7,0.004,25.21,1.4
0.94,379,235.5,21.7,0.0045,24.7,1.39
0.96,383,236,21.7,0.005,24.71,1.39
0.98,387,236.5,21.7,0.0045,25.29,1.4
1,392,237,21.7,0.004,25.01,1.4
1.02,397,237.5,21.7,0.0045,24.78,1.39
1.04,401,238,21.7,0.0045,24.3,1.39
1.06,406,238.5,21.7,0.004,23.5,1.37
1.08,410,238.9,21.7,0.005,22.21,1.35
1.1,415,239.4,21.7,0.0045,21.49,1.33
1.12,419,239.8,21.7,0.0055,21.21,1.33
1.14,423,240.2,21.7,0.0055,21.22,1.33
1.16,427,240.6,21.7,0.0055,21.57,1.33
1.18,432,241.1,21.7,0.0045,21,1.32
1.2,436,241.5,21.7,0.0055,20.49,1.31
1.22,440,241.9,21.7,0.005,19.51,1.29
1.24,444,242.3,21.7,0.0045,18.71,1.27
1.26,449,242.6,21.7,0.0045,18.71,1.27
1.28,453,243,21.7,0.0055,19.01,1.28
1.3,457,243.4,21.7,0.005,19.27,1.28
1.32,461,243.8,21.7,0.005,19.01,1.28
1.34,466,244.2,21.7,0.0045,18.78,1.27
1.36,470,244.5,21.7,0.0055,17.72,1.25
1.38,474,244.9,21.7,0.0055,17.49,1.24
1.4,478,245.2,21.7,0.0055,17.5,1.24
1.42,482,245.6,21.7,0.0055,17.51,1.24
1.44,486,245.9,21.7,0.0055,16.99,1.23
1.46,490,246.3,21.7,0.0055,16.5,1.22
1.48,493,246.6,21.7,0.0065,16.5,1.22
1.5,497,246.9,21.7,0.005,16.22,1.21
1.52,501,247.2,21.7,0.005,16.28,1.21
1.54,505,247.6,21.7,0.005,16,1.2
1.56,509,247.9,21.7,0.0045,16,1.2
1.58,513,248.2,21.7,0.0045,15.51,1.19
1.6,517,248.5,21.7,0.0045,14.99,1.18
1.62,521,248.8,21.7,0.0045,15,1.18
1.64,525,249.1,21.7,0.0045,15.01,1.18
1.66,529,249.4,21.7,0.0045,14.49,1.16
1.68,533,249.7,21.7,0.005,14,1.15
1.7,537,250,21.7,0.0055,13.71,1.14
1.72,541,250.2,21.7,0.0055,,
1.74,544,250.5,21.7,0.0055,,
1.76,548,250.8,21.7,0.005,,
1.78,552,251.1,21.7,0.005,,
1.8,556,251.4,21.7,0.0055,,
Scope 1/1, Sample 2/6 (20201009_headtank2),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,176.2,21.7,,,
0.04,7,183.7,21.7,0.006,,
0.06,134,187.7,21.7,0,,
0.08,142,190.7,21.7,0.0025,,
0.1,148,193.6,21.7,0.003,,
0.12,155,196.1,21.7,0.0025,124.34,2.09
0.14,162,198.5,21.7,0.003,110.01,2.04
0.16,168,200.6,21.7,0.0035,102.23,2.01
0.18,174,202.6,21.7,0.003,95.05,1.98
0.2,181,204.4,21.7,0.003,90.14,1.95
0.22,186,206.1,21.7,0.004,85.13,1.93
0.24,192,207.8,21.7,0.0035,80.77,1.91
0.26,199,209.5,21.7,0.003,75.7,1.88
0.28,205,210.9,21.7,0.0035,70.93,1.85
0.3,210,212.2,21.7,0.0035,65.94,1.82
0.32,216,213.5,21.7,0.003,61.9,1.79
0.34,222,214.7,21.7,0.0035,59.13,1.77
0.36,228,215.9,21.7,0.0035,57.5,1.76
0.38,233,217,21.7,0.004,55,1.74
0.4,239,218.1,21.7,0.0035,51.92,1.72
0.42,245,219.1,21.7,0.0035,49.99,1.7
0.44,250,220.1,21.7,0.004,48.23,1.68
0.46,255,221,21.7,0.0035,46.7,1.67
0.48,261,221.9,21.7,0.0035,44.7,1.65
0.5,266,222.9,21.7,0.004,43.78,1.64
0.52,271,223.7,21.7,0.004,42.44,1.63
0.54,276,224.5,21.7,0.004,41.5,1.62
0.56,281,225.3,21.7,0.004,40.28,1.61
0.58,287,226.2,21.7,0.0035,39.49,1.6
0.6,292,226.9,21.7,0.0035,38.51,1.59
0.62,297,227.7,21.7,0.0035,36.79,1.57
0.64,302,228.4,21.7,0.004,34.7,1.54
0.66,307,229.1,21.7,0.004,33.42,1.52
0.68,312,229.7,21.7,0.004,33.01,1.52
0.7,317,230.4,21.7,0.004,32.5,1.51
0.72,322,231,21.7,0.004,31.99,1.51
0.74,327,231.7,21.7,0.004,31,1.49
0.76,332,232.3,21.7,0.004,30.29,1.48
0.78,337,232.9,21.7,0.004,29.23,1.47
0.8,342,233.4,21.7,0.0045,28.2,1.45
0.82,347,234,21.7,0.0045,27.78,1.44
0.84,351,234.6,21.7,0.0045,27.21,1.43
0.86,356,235.1,21.7,0.004,26.7,1.43
0.88,361,235.6,21.7,0.004,26.59,1.42
0.9,366,236.2,21.7,0.0045,25.71,1.41
0.92,370,236.6,21.7,0.0055,25.2,1.4
0.94,375,237.2,21.7,0.0045,25.09,1.4
0.96,379,237.7,21.7,0.0045,24.2,1.38
0.98,384,238.1,21.7,0.004,23.72,1.38
1,388,238.6,21.7,0.0045,23.29,1.37
1.02,393,239.1,21.7,0.0035,22.69,1.36
1.04,398,239.5,21.7,0.004,23.02,1.36
1.06,402,240,21.7,0.005,22.79,1.36
1.08,407,240.4,21.7,0.004,21.99,1.34
1.1,411,240.9,21.7,0.005,21.51,1.33
1.12,415,241.3,21.7,0.005,20.99,1.32
1.14,420,241.7,21.7,0.004,20.22,1.31
1.16,424,242.1,21.7,0.005,20.29,1.31
1.18,428,242.5,21.7,0.005,19.42,1.29
1.2,432,242.9,21.7,0.0045,19.77,1.3
1.22,437,243.3,21.7,0.004,19.81,1.3
1.24,441,243.7,21.7,0.005,19.21,1.28
1.26,445,244,21.7,0.0045,18.49,1.27
1.28,450,244.5,21.7,0.004,18.29,1.26
1.3,454,244.8,21.7,0.0045,18.21,1.26
1.32,458,245.1,21.7,0.0045,17.73,1.25
1.34,463,245.5,21.7,0.004,17.56,1.24
1.36,467,245.9,21.7,0.005,16.92,1.23
1.38,472,246.2,21.7,0.0045,17.5,1.24
1.4,475,246.5,21.7,0.006,17.3,1.24
1.42,480,246.9,21.7,0.0045,16.99,1.23
1.44,484,247.2,21.7,0.0055,16.99,1.23
1.46,488,247.6,21.7,0.0055,16.8,1.23
1.48,491,247.9,21.7,0.006,15.99,1.2
1.5,495,248.2,21.7,0.0045,15.22,1.18
1.52,499,248.5,21.7,0.0045,14.99,1.18
1.54,503,248.8,21.7,0.005,14.71,1.17
1.56,507,249.1,21.7,0.0045,15,1.18
1.58,511,249.4,21.7,0.005,15,1.18
1.6,515,249.7,21.7,0.005,15,1.18
1.62,519,250,21.7,0.005,15,1.18
1.64,523,250.3,21.7,0.005,15.29,1.18
1.66,527,250.6,21.7,0.005,15.01,1.18
1.68,531,250.9,21.7,0.005,14.49,1.16
1.7,536,251.2,21.7,0.0045,14,1.15
1.72,540,251.5,21.7,0.0055,,
1.74,544,251.7,21.7,0.0055,,
1.76,548,252,21.7,0.0055,,
1.78,552,252.3,21.7,0.0055,,
1.8,556,252.6,21.7,0.005,,
Scope 1/1, Sample 3/6 (20201009_headtank3),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,172.6,21.7,,,
0.04,8,180.9,21.7,0.0055,,
0.06,136,185.2,21.7,0,,
0.08,142,188.6,21.7,0.003,,
0.1,150,191.6,21.7,0.0025,,
0.12,156,194.3,21.7,0.0035,132.77,2.12
0.14,163,196.9,21.7,0.003,116.7,2.07
0.16,169,199.1,21.7,0.0035,108.45,2.04
0.18,176,201.2,21.7,0.003,100.57,2
0.2,182,203.1,21.7,0.003,93.82,1.97
0.22,188,204.9,21.7,0.003,88.13,1.95
0.24,194,206.7,21.7,0.003,83.2,1.92
0.26,201,208.3,21.7,0.003,77.91,1.89
0.28,207,209.8,21.7,0.0035,72.93,1.86
0.3,212,211.2,21.7,0.004,68.41,1.84
0.32,218,212.5,21.7,0.003,64.63,1.81
0.34,225,213.8,21.7,0.003,62.2,1.79
0.36,231,215,21.7,0.0035,59.71,1.78
0.38,237,216.2,21.7,0.0035,57.5,1.76
0.4,243,217.3,21.7,0.0035,55,1.74
0.42,249,218.4,21.7,0.0035,52.21,1.72
0.44,254,219.4,21.7,0.004,49.7,1.7
0.46,259,220.4,21.7,0.004,47.71,1.68
0.48,264,221.3,21.7,0.0035,46.21,1.66
0.5,270,222.2,21.7,0.003,45,1.65
0.52,275,223.1,21.7,0.0035,43.5,1.64
0.54,281,224,21.7,0.0035,41.99,1.62
0.56,286,224.8,21.7,0.004,40.51,1.61
0.58,291,225.6,21.7,0.0035,38.42,1.58
0.6,296,226.3,21.7,0.0035,37.49,1.57
0.62,302,227.1,21.7,0.0035,37.02,1.57
0.64,306,227.8,21.7,0.005,36.2,1.56
0.66,311,228.5,21.7,0.004,35.29,1.55
0.68,316,229.3,21.7,0.0035,34.29,1.54
0.7,322,229.9,21.7,0.0035,32.92,1.52
0.72,326,230.5,21.7,0.0045,32.01,1.51
0.74,332,231.2,21.7,0.0035,31.28,1.5
0.76,337,231.8,21.7,0.0045,30.42,1.48
0.78,341,232.4,21.7,0.005,30.29,1.48
0.8,346,233,21.7,0.0045,29,1.46
0.82,350,233.6,21.7,0.005,28.2,1.45
0.84,355,234.1,21.7,0.0045,28.01,1.45
0.86,360,234.7,21.7,0.0045,27.5,1.44
0.88,364,235.2,21.7,0.005,26.99,1.43
0.9,369,235.8,21.7,0.004,26.51,1.42
0.92,374,236.3,21.7,0.004,25.99,1.41
0.94,379,236.8,21.7,0.004,25.51,1.41
0.96,383,237.3,21.7,0.005,25,1.4
0.98,388,237.8,21.7,0.004,24.49,1.39
1,392,238.3,21.7,0.0045,24.3,1.39
1.02,398,238.8,21.7,0.0035,23.5,1.37
1.04,402,239.2,21.7,0.0055,22.21,1.35
1.06,407,239.7,21.7,0.0045,21.49,1.33
1.08,412,240.1,21.7,0.0045,21.21,1.33
1.1,416,240.5,21.7,0.0055,21.22,1.33
1.12,420,240.9,21.7,0.0055,21.28,1.33
1.14,424,241.4,21.7,0.0055,21,1.32
1.16,429,241.8,21.7,0.0045,21,1.32
1.18,433,242.2,21.7,0.005,20.51,1.31
1.2,438,242.6,21.7,0.004,20.29,1.31
1.22,442,243,21.7,0.0045,19.71,1.29
1.24,447,243.4,21.7,0.0045,19.49,1.29
1.26,451,243.8,21.7,0.0055,19.29,1.29
1.28,455,244.2,21.7,0.0055,18.72,1.27
