Method Data,,,,,,
Method name,Panopea,,,,,
Method ID,7,,,,,
Method version,6,,,,,
Method Internal ID,M44,,,,,
Release State,Released,,,,,
Type,TitrationGeneral,,,,,
,,,,,,
Table of Measured Values,,,,,,
Task,T1575,,,,,
Scope 1/1, Sample 1/2 (20200917_CRM1),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-45.7,21.7,NaN,,
0.04,3,-48,21.7,0.012,,
0.08,24,-37.6,21.7,0.002,,
0.12,47,-23.9,21.7,0.0015,,
0.2,79,-2.7,21.7,0.003,,
0.24,89,3.3,21.7,0.004,,
0.28,102,10,21.7,0.003,,
0.32,115,15.6,21.7,0.003,,
0.36,127,20.8,21.7,0.0035,,
0.4,139,25.5,21.7,0.0035,,
0.44,150,29.7,21.7,0.0035,,
0.48,157,33.7,21.7,0.006,,
0.52,166,37.3,21.7,0.0045,,
0.56,177,41,21.7,0.0035,,
0.6,186,44.2,21.7,0.0045,,
0.64,193,47.3,21.7,0.0055,,
0.68,197,50.1,21.7,0.0105,,
0.72,206,53.8,21.7,0.0045,,
0.76,215,57,21.7,0.0045,,
0.8,223,60.3,21.7,0.005,,
0.84,232,63.7,21.7,0.0045,,
0.88,235,65.7,21.7,0.012,,
0.92,245,70.9,21.7,0.004,,
0.96,249,73.5,21.7,0.011,,
1,258,78.8,21.7,0.0045,,
1.04,266,83.2,21.7,0.005,,
1.08,276,88.4,21.7,0.004,,
1.12,285,94,21.7,0.0045,,
1.16,294,100.5,21.7,0.0045,,
1.2,303,108.2,21.7,0.0045,,
1.24,313,117.9,21.7,0.004,,
1.28,321,130.6,21.7,0.005,339.9,2.53
1.32,330,146.5,21.7,0.0045,361.57,2.56
1.36,337,162.1,21.7,0.0055,349.04,2.54
1.4,344,174.2,21.7,0.0055,299.32,2.48
1.44,350,183.2,21.7,0.0065,227.65,2.36
1.46,476,187.2,21.7,0,184.58,2.27
1.48,482,190.4,21.7,0.0035,154.01,2.19
1.5,488,193.3,21.7,0.003,137.46,2.14
1.52,494,195.9,21.7,0.003,124.09,2.09
1.54,500,198.3,21.7,0.003,112.57,2.05
1.56,507,200.5,21.7,0.003,104.26,2.02
1.58,513,202.5,21.7,0.0035,96.25,1.98
1.6,519,204.3,21.7,0.0035,89.84,1.95
1.62,524,206.1,21.7,0.004,84.92,1.93
1.64,529,207.7,21.7,0.004,80.42,1.91
1.66,534,209.3,21.7,0.0035,75.41,1.88
1.68,540,210.8,21.7,0.0035,70.98,1.85
1.7,546,212.2,21.7,0.0035,66.65,1.82
1.72,551,213.4,21.7,0.004,,
1.74,556,214.6,21.7,0.0035,,
1.76,562,215.9,21.7,0.0035,,
1.78,567,217,21.7,0.0045,,
1.8,572,218.1,21.7,0.004,,
Scope 1/1, Sample 2/2 (20200917_CRM2),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-45,21.7,NaN,,
0.04,3,-47.4,21.7,0.0125,,
0.08,27,-35.8,21.7,0.0015,,
0.12,51,-21.8,21.7,0.0015,,
0.2,81,-1.4,21.7,0.003,,
0.24,96,5.3,21.7,0.0025,,
0.28,108,11.4,21.7,0.0035,,
0.32,121,17.1,21.7,0.003,,
0.36,132,21.9,21.7,0.0035,,
0.4,143,26.7,21.7,0.0035,,
0.44,147,29.6,21.7,0.0105,,
0.48,159,34.7,21.7,0.0035,,
0.52,170,38.8,21.7,0.0035,,
0.56,180,42.1,21.7,0.004,,
0.6,189,45.5,21.7,0.0045,,
0.64,199,48.8,21.7,0.004,,
0.68,208,52,21.7,0.0045,,
0.72,217,55.2,21.7,0.0045,,
0.76,225,58.3,21.7,0.005,,
0.8,234,61.9,21.7,0.0045,,
0.84,243,65.2,21.7,0.0045,,
0.88,251,68.9,21.7,0.005,,
0.92,260,72.8,21.7,0.0045,,
0.96,269,77.1,21.7,0.0045,,
1,278,81.3,21.7,0.0045,,
1.04,287,86.2,21.7,0.0045,,
1.08,295,91.7,21.7,0.005,,
1.12,305,98,21.7,0.004,,
1.16,314,105.4,21.7,0.0045,,
1.2,322,114.6,21.7,0.005,,
1.24,331,126.8,21.7,0.0045,338.27,2.53
1.28,340,142.9,21.7,0.0045,367.88,2.57
1.32,348,159.2,21.7,0.005,363.78,2.56
1.36,354,172.2,21.7,0.0065,319.49,2.5
1.4,360,181.8,21.7,0.006,246.79,2.39
1.42,487,186.4,21.7,0,200.36,2.3
1.44,494,189.7,21.7,0.003,165.56,2.22
1.46,500,192.8,21.7,0.0035,145.09,2.16
1.48,505,195.4,21.7,0.0035,129.25,2.11
1.5,511,197.9,21.7,0.0035,115.93,2.06
1.52,517,200.2,21.7,0.0035,108.23,2.03
1.54,522,202.3,21.7,0.0035,100.04,2
1.56,528,204.2,21.7,0.003,92.86,1.97
1.58,534,206,21.7,0.0035,86.32,1.94
1.6,539,207.6,21.7,0.004,81.13,1.91
1.62,544,209.3,21.7,0.004,76.91,1.89
1.64,549,210.7,21.7,0.004,72.91,1.86
1.66,554,212.2,21.7,0.0035,69.22,1.84
1.68,560,213.5,21.7,0.0035,65.7,1.82
1.7,565,214.8,21.7,0.0045,62.43,1.8
1.72,570,216,21.7,0.004,,
1.74,575,217.2,21.7,0.004,,
1.76,580,218.3,21.7,0.004,,
1.78,585,219.4,21.7,0.004,,
1.8,590,220.4,21.7,0.004,,

